湖南频道,#genre#
湖南娱乐,http://192.168.100.1:23456/udp/239.76.253.105:9000
湖南娱乐,http://192.168.100.1:23456/udp/239.76.252.121:9000
湖南娱乐,http://192.168.100.1:23456/udp/239.76.246.105:1234
湖南娱乐,http://192.168.100.1:23456/udp/239.76.245.121:1234
湖南卫视,http://192.168.100.1:23456/udp/239.76.253.101:9000
湖南卫视,http://192.168.100.1:23456/udp/239.76.253.100:9000
湖南卫视,http://192.168.100.1:23456/udp/239.76.252.115:9000
湖南卫视,http://192.168.100.1:23456/udp/239.76.251.85:9000
湖南卫视,http://192.168.100.1:23456/udp/239.76.246.101:1234
湖南卫视,http://192.168.100.1:23456/udp/239.76.246.100:1234
湖南卫视,http://192.168.100.1:23456/udp/239.76.245.115:1234
湖南经视,http://192.168.100.1:23456/udp/239.76.253.103:9000
湖南经视,http://192.168.100.1:23456/udp/239.76.252.116:9000
湖南经视,http://192.168.100.1:23456/udp/239.76.251.86:9000
湖南经视,http://192.168.100.1:23456/udp/239.76.246.103:1234
湖南经视,http://192.168.100.1:23456/udp/239.76.245.116:1234
湖南教育,http://192.168.100.1:23456/udp/239.76.252.233:9000
湖南教育,http://192.168.100.1:23456/udp/239.76.245.233:1234
湖南国际,http://192.168.100.1:23456/udp/239.76.253.102:9000
湖南国际,http://192.168.100.1:23456/udp/239.76.252.240:9000
湖南国际,http://192.168.100.1:23456/udp/239.76.252.124:9000
湖南国际,http://192.168.100.1:23456/udp/239.76.246.102:1234
湖南国际,http://192.168.100.1:23456/udp/239.76.245.124:1234
湖南都市,http://192.168.100.1:23456/udp/239.76.253.104:9000
湖南都市,http://192.168.100.1:23456/udp/239.76.252.117:9000
湖南都市,http://192.168.100.1:23456/udp/239.76.245.117:1234
湖南电影,http://192.168.100.1:23456/udp/239.76.253.106:9000
湖南电影,http://192.168.100.1:23456/udp/239.76.252.119:9000
湖南电影,http://192.168.100.1:23456/udp/239.76.246.106:1234
湖南电影,http://192.168.100.1:23456/udp/239.76.245.119:1234
湖南电视剧,http://192.168.100.1:23456/udp/239.76.253.108:9000
湖南电视剧,http://192.168.100.1:23456/udp/239.76.252.118:9000
湖南电视剧,http://192.168.100.1:23456/udp/239.76.246.108:1234
湖南电视剧,http://192.168.100.1:23456/udp/239.76.245.118:1234
湖南爱晚,http://192.168.100.1:23456/udp/239.76.253.109:9000
湖南爱晚,http://192.168.100.1:23456/udp/239.76.252.123:9000
湖南爱晚,http://192.168.100.1:23456/udp/239.76.246.109:1234
湖南爱晚,http://192.168.100.1:23456/udp/239.76.245.123:1234
湖北卫视,http://192.168.100.1:23456/udp/239.76.253.193:9000
衡阳新闻,http://192.168.100.1:23456/udp/239.76.248.13:1234
衡阳公共,http://192.168.100.1:23456/udp/239.76.255.14:9000
衡阳公共,http://192.168.100.1:23456/udp/239.76.248.14:1234
衡阳,http://192.168.100.1:23456/udp/239.76.255.26:9000
衡阳,http://192.168.100.1:23456/udp/239.76.248.26:1234
黑龙江卫视,http://192.168.100.1:23456/udp/239.76.253.200:9000
黑龙江卫视,http://192.168.100.1:23456/udp/239.76.246.200:1234
河南卫视,http://192.168.100.1:23456/udp/239.76.253.202:9000
河北卫视,http://192.168.100.1:23456/udp/239.76.252.199:9000
河北卫视,http://192.168.100.1:23456/udp/239.76.245.199:1234
好吃厨房,http://192.168.100.1:23456/udp/239.76.253.221:9000
好吃厨房,http://192.168.100.1:23456/udp/239.76.252.32:9000
好吃厨房,http://192.168.100.1:23456/udp/239.76.245.32:1234
海南卫视,http://192.168.100.1:23456/udp/239.76.253.203:9000
海南卫视,http://192.168.100.1:23456/udp/239.76.246.203:1234
哈哈炫动[1024*576],http://192.168.100.1:23456/udp/239.76.252.133:9000
桂东,http://192.168.100.1:23456/udp/239.76.253.231:9000
桂东,http://192.168.100.1:23456/udp/239.76.246.231:1234
贵州卫视,http://192.168.100.1:23456/udp/239.76.252.198:9000
贵州卫视,http://192.168.100.1:23456/udp/239.76.245.198:1234
广西卫视,http://192.168.100.1:23456/udp/239.76.254.54:9000
广西卫视,http://192.168.100.1:23456/udp/239.76.247.54:1234
广东卫视,http://192.168.100.1:23456/udp/239.76.252.189:9000
广东卫视,http://192.168.100.1:23456/udp/239.76.245.189:1234
甘肃卫视,http://192.168.100.1:23456/udp/239.76.253.94:9000
凤凰资讯,http://192.168.100.1:23456/udp/239.76.246.8:1234
凤凰资讯,http://192.168.100.1:23456/udp/239.76.246.7:1234
凤凰中文,http://192.168.100.1:23456/udp/239.76.253.135:9000
凤凰中文,http://192.168.100.1:23456/udp/239.76.253.134:9000
东南卫视,http://192.168.100.1:23456/udp/239.76.252.190:9000
东南卫视,http://192.168.100.1:23456/udp/239.76.245.190:1234
东方卫视,http://192.168.100.1:23456/udp/239.76.246.186:1234
道县,http://192.168.100.1:23456/udp/239.76.255.28:9000
道县,http://192.168.100.1:23456/udp/239.76.255.13:9000
道县,http://192.168.100.1:23456/udp/239.76.248.28:1234
郴州综合,http://192.168.100.1:23456/udp/239.76.253.75:9000
郴州综合,http://192.168.100.1:23456/udp/239.76.246.75:1234
常德新闻,http://192.168.100.1:23456/udp/239.76.255.10:9000
常德新闻,http://192.168.100.1:23456/udp/239.76.248.10:1234
常德公共,http://192.168.100.1:23456/udp/239.76.255.11:9000
常德公共,http://192.168.100.1:23456/udp/239.76.248.11:1234
茶频道,http://192.168.100.1:23456/udp/239.76.252.239:9000
茶频道,http://192.168.100.1:23456/udp/239.76.245.239:1234


央视频道,#genre#
CCTV-1,http://113.83.248.110:4200/rtp/239.77.0.129:5146$1920x1080
CCTV-1,http://113.83.248.110:4200/rtp/239.77.1.144:5146$1920x1080
CCTV-1,http://113.83.248.110:4200/rtp/239.77.0.119:5146$1920x1080
CCTV-1,http://113.66.41.152:10000/rtp/239.77.0.14:5146$720x576
CCTV-1,http://113.83.248.110:4200/rtp/239.77.0.30:5146$720x576
CCTV-1,http://113.83.248.110:4200/rtp/239.77.0.14:5146$720x576
CCTV-1,http://113.83.248.110:4200/rtp/239.77.0.241:5146$720x576
CCTV-1,http://123.146.162.24:8013/tslslive/noEX9SG/hls/live_sd.m3u8$720x576
CCTV-2,http://113.87.227.200:5000/rtp/239.253.43.17:5146$1920x1080
CCTV-2,http://113.83.248.110:4200/rtp/239.77.1.158:5146$1920x1080
CCTV-2,http://113.83.248.110:4200/rtp/239.77.0.137:5146$1920x1080
CCTV-2,https://cntv.lat/tv/live.php?auth=231110&id=cctv2$1280x720
CCTV-2,http://113.83.248.110:4200/rtp/239.77.0.31:5146$720x576
CCTV-2,http://113.66.41.152:10000/rtp/239.77.0.31:5146$720x576
CCTV-3,http://113.83.248.110:4200/rtp/239.77.0.169:5146$1920x1080
CCTV-3,http://113.83.248.110:4200/rtp/239.77.0.32:5146$720x576
CCTV-4,http://113.83.248.110:4200/rtp/239.77.1.166:5146$1920x1080
CCTV-4,http://113.87.227.200:5000/rtp/239.77.1.166:5146$1920x1080
CCTV-4,http://113.83.248.110:4200/rtp/239.77.0.78:5146$1920x1080
CCTV-4,http://113.83.248.110:4200/rtp/239.253.43.120:5146$1920x1080
CCTV-4,http://113.83.248.110:4200/rtp/239.77.1.163:5146$1920x1080
CCTV-4,http://113.83.248.110:4200/rtp/239.77.0.33:5146$720x576
CCTV-4,http://113.66.41.152:10000/rtp/239.77.0.33:5146$720x576
CCTV-5,http://113.83.248.110:4200/rtp/239.77.0.170:5146$1920x1080
CCTV-5,http://113.66.41.152:10000/rtp/239.77.0.170:5146$1920x1080
CCTV-5,http://113.83.248.110:4200/rtp/239.77.0.34:5146$720x576
CCTV-5+,http://113.87.227.200:5000/rtp/239.77.0.87:5146$1920x1080
CCTV-5+,http://113.83.248.110:4200/rtp/239.77.1.31:5146$1920x1080
CCTV-5+,http://113.83.248.110:4200/rtp/239.77.0.87:5146$1920x1080
CCTV-5+,http://116.23.99.235:50000/rtp/239.77.0.87:5146$1920x1080
CCTV-6,http://113.87.227.200:5000/rtp/239.77.0.178:5146$1920x1080
CCTV-6,http://113.83.248.110:4200/rtp/239.77.0.171:5146$1920x1080
CCTV-6,http://113.83.248.110:4200/rtp/239.77.0.35:5146$720x576
CCTV-7,http://113.87.227.200:5000/rtp/239.77.1.167:5146$1920x1080
CCTV-7,http://113.83.248.110:4200/rtp/239.77.1.159:5146$1920x1080
CCTV-7,http://113.83.248.110:4200/rtp/239.77.0.138:5146$1920x1080
CCTV-7,http://113.83.248.110:4200/rtp/239.77.0.36:5146$720x576
CCTV-7,http://113.66.41.152:10000/rtp/239.77.0.36:5146$720x576
CCTV-8,http://113.83.248.110:4200/rtp/239.77.0.172:5146$1920x1080
CCTV-8,http://113.83.248.110:4200/rtp/239.77.0.37:5146$720x576
CCTV-8,http://113.66.41.152:10000/rtp/239.77.0.37:5146$720x576
CCTV-9,http://113.83.248.110:4200/rtp/239.77.1.160:5146$1920x1080
CCTV-9,http://113.83.248.110:4200/rtp/239.77.0.135:5146$1920x1080
CCTV-9,http://nas.hssvm.com:8888/udp/225.1.1.119:5002$1920x1080
CCTV-9,http://113.83.248.110:4200/rtp/239.77.0.38:5146$720x576
CCTV-9,http://113.66.41.152:10000/rtp/239.77.0.38:5146$720x576
CCTV-10,http://113.66.41.152:10000/rtp/239.77.1.169:5146$1920x1080
